BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
553664,MASTERCARD,CREDIT,BLACK,BANCO CIUDAD DE BUENOS AIRES,,,AR,ARG,ARGENTINA
553668,MASTERCARD,CREDIT,BLACK,BANCO DE LA PROVINCIA DE BUENOS AIRES,+541143470000,http://www.bapro.com.ar,AR,ARG,ARGENTINA
553670,MASTERCARD,CREDIT,BLACK,BANCO SANTANDER RIO SA,+548002223050,http://www.santanderrio.com.ar,AR,ARG,ARGENTINA
553672,MASTERCARD,CREDIT,BLACK,NUEVO BANCO DE ENTRE RIOS (BERSA),,,AR,ARG,ARGENTINA
553673,MASTERCARD,CREDIT,BLACK,NUEVO BANCO DE ENTRE RIOS (BERSA),,,AR,ARG,ARGENTINA
553674,MASTERCARD,CREDIT,BLACK,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
553678,MASTERCARD,CREDIT,BLACK,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
553771,MASTERCARD,DEBIT,STANDARD,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
553777,MASTERCARD,DEBIT,WORLD ELITE,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
553839,MASTERCARD,DEBIT,STANDARD,"BANCO COINAG, S.A.",,,AR,ARG,ARGENTINA
553884,MASTERCARD,DEBIT,STANDARD,CITIBANK N.A.,,https://www.citibank.com.vn,AR,ARG,ARGENTINA
553885,MASTERCARD,DEBIT,STANDARD,CITIBANK N.A.,,https://www.citibank.com.vn,AR,ARG,ARGENTINA
553886,MASTERCARD,DEBIT,STANDARD,CITIBANK N.A.,,https://www.citibank.com.vn,AR,ARG,ARGENTINA
554067,MASTERCARD,DEBIT,PREPAID,"BANCO COLUMBIA, S.A.",+548002220224,http://www.bancocolumbia.com.ar,AR,ARG,ARGENTINA
554142,MASTERCARD,CREDIT,,,,,AR,ARG,ARGENTINA
554210,MASTERCARD,CREDIT,STANDARD,IUDU COMPANIA FINANCIERA SA,,,AR,ARG,ARGENTINA
554288,MASTERCARD,CREDIT,GOLD,BANCO BBVA ARGENTINA S A,,,AR,ARG,ARGENTINA
554630,MASTERCARD,DEBIT,PREPAID,GLOBAL PROCESSING SA,,,AR,ARG,ARGENTINA
554662,MASTERCARD,CREDIT,CORPORATE,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
